<X>, <Y>, <dY>
7.255197320000000e-03, 5.306345280000000e-01, 6.932823339999999e-02
7.421382520000000e-03, 5.523924720000000e-01, 6.843932630000001e-02
7.587566970000000e-03, 4.669262770000000e-01, 6.714041270000000e-02
7.753752170000000e-03, 4.734668460000000e-01, 6.609104130000000e-02
7.935044909999999e-03, 3.659956820000000e-01, 5.958771900000000e-02
8.131445200000000e-03, 4.121728310000000e-01, 5.875272900000000e-02
8.327845480000000e-03, 3.731135410000000e-01, 5.772148430000000e-02
8.524245020000000e-03, 3.343905160000000e-01, 5.683015880000000e-02
8.720645310000000e-03, 3.148360000000000e-01, 5.604933210000000e-02
8.917045590000000e-03, 2.697977970000000e-01, 5.521564880000000e-02
9.113445879999999e-03, 2.261778160000000e-01, 5.447888230000000e-02
9.324953710000000e-03, 2.369569540000000e-01, 5.005064410000000e-02
9.551569820000001e-03, 2.200871790000000e-01, 4.931769680000000e-02
9.778185190000000e-03, 2.093077260000000e-01, 4.861331660000000e-02
1.000480130000000e-02, 1.815836110000000e-01, 4.794518360000000e-02
1.023141670000000e-02, 1.806749640000000e-01, 4.735005720000000e-02
1.045803200000000e-02, 1.809158420000000e-01, 4.678778020000000e-02
1.069975570000000e-02, 1.436702120000000e-01, 4.330871690000000e-02
1.095658690000000e-02, 1.355258530000000e-01, 4.272655480000000e-02
1.121341810000000e-02, 1.382755980000000e-01, 4.309720820000000e-02
1.147024930000000e-02, 1.126782400000000e-01, 4.342763800000000e-02
1.172707970000000e-02, 8.740432120000000e-02, 4.280864740000000e-02
1.199901920000000e-02, 9.640362000000000e-02, 3.931829590000000e-02
1.228606550000000e-02, 9.316202210000001e-02, 3.855677550000000e-02
1.257311250000000e-02, 8.663712760000000e-02, 3.790056270000000e-02
1.286015810000000e-02, 9.686655120000000e-02, 3.733691950000000e-02
1.316231190000000e-02, 7.128089310000001e-02, 3.493317680000000e-02
1.347957400000000e-02, 6.613899560000000e-02, 3.528468080000000e-02
1.379683610000000e-02, 5.579359620000000e-02, 3.627149140000000e-02
1.411409830000000e-02, 6.538999860000000e-02, 3.725443910000000e-02
1.444646870000000e-02, 6.021712010000000e-02, 3.621623890000000e-02
1.479394580000000e-02, 5.551390090000000e-02, 3.650390970000000e-02
1.514142300000000e-02, 4.529288480000000e-02, 3.684488160000000e-02
1.548890020000000e-02, 5.134512680000000e-02, 3.717447310000000e-02
1.585148570000000e-02, 6.209152460000000e-02, 3.594856640000000e-02
1.622917800000000e-02, 6.103593230000000e-02, 3.615789060000000e-02
1.660687030000000e-02, 5.681267380000000e-02, 3.630776070000000e-02
1.698456410000000e-02, 6.344970530000001e-02, 3.645911470000000e-02
1.737736460000000e-02, 4.224570120000000e-02, 3.517202820000000e-02
1.778527200000000e-02, 3.873075850000000e-02, 3.638451280000000e-02
1.819318090000000e-02, 3.295891790000000e-02, 3.778853410000000e-02
1.861619650000000e-02, 3.435201790000000e-02, 3.755222280000000e-02
1.905432050000000e-02, 3.572167250000000e-02, 3.875742210000000e-02
1.949244290000000e-02, 1.311656650000000e-02, 4.106770410000000e-02
1.994567510000000e-02, 2.475733040000000e-02, 4.417095670000000e-02
2.041401420000000e-02, 2.863095630000000e-02, 4.830212070000000e-02
2.088235320000000e-02, 2.258937650000000e-02, 5.257505550000000e-02
2.136579900000000e-02, 1.309334700000000e-02, 5.562099550000000e-02
2.186435460000000e-02, 6.806338280000000e-03, 6.240530370000000e-02
2.236290870000000e-02, 1.766837600000000e-02, 6.995383650000001e-02
2.287657110000000e-02, 1.979248640000000e-02, 7.645345630000000e-02
2.340534030000000e-02, 2.250019250000000e-02, 8.894243350000000e-02
2.394921780000000e-02, 1.784369750000000e-02, 1.025258650000000e-01
2.450820360000000e-02, 1.300089300000000e-02, 1.191522410000000e-01
2.508229610000000e-02, -1.671648150000000e-03, 1.437705060000000e-01
2.567149700000000e-02, 1.565708100000000e-02, 2.150997760000000e-01
