<X>, <Y>, <dY>
3.400929270000000e-03, 8.092469019999999e+00, 1.093995250000000e-01
3.476138410000000e-03, 7.628020380000000e+00, 1.041939560000000e-01
3.551347180000000e-03, 7.018898300000000e+00, 9.938882550000000e-02
3.626556320000000e-03, 6.615002630000000e+00, 9.571016400000000e-02
3.701765090000000e-03, 6.140030190000000e+00, 9.236652230000000e-02
3.776974230000000e-03, 5.240296550000000e+00, 8.716224750000000e-02
3.852183370000000e-03, 4.611758140000000e+00, 8.301913240000000e-02
3.942434120000000e-03, 3.942789250000000e+00, 6.675872200000001e-02
4.047726470000000e-03, 3.420671500000000e+00, 6.337676720000000e-02
4.153019190000000e-03, 2.962166580000000e+00, 6.035366260000000e-02
4.258311910000000e-03, 2.704823730000000e+00, 5.792630530000000e-02
4.363604260000000e-03, 2.657440830000000e+00, 5.667061110000000e-02
4.468896990000000e-03, 2.466333350000000e+00, 5.458072370000000e-02
4.574189710000000e-03, 2.228280340000000e+00, 5.264076320000000e-02
4.679482060000000e-03, 2.179793890000000e+00, 5.135088190000000e-02
4.784774780000001e-03, 2.057469330000000e+00, 4.989193210000000e-02
4.890067500000000e-03, 1.966837220000000e+00, 4.870623730000000e-02
4.995359850000001e-03, 1.925600560000000e+00, 4.819139260000000e-02
5.100652580000000e-03, 1.799509170000000e+00, 4.824680980000000e-02
5.205945300000001e-03, 1.814579850000000e+00, 4.830506730000000e-02
5.326279630000000e-03, 1.621782950000000e+00, 4.175651990000000e-02
5.461655930000000e-03, 1.499330690000000e+00, 4.086843010000000e-02
5.597031860000001e-03, 1.405776580000000e+00, 3.955229230000000e-02
5.732408170000001e-03, 1.320308330000000e+00, 3.780171800000000e-02
5.867784470000001e-03, 1.264445030000000e+00, 3.666262940000000e-02
6.003160400000001e-03, 1.133798060000000e+00, 3.559672330000000e-02
6.138536710000000e-03, 1.044038560000000e+00, 3.469948940000000e-02
6.273912640000000e-03, 9.801220430000001e-01, 3.387648810000000e-02
6.409288940000001e-03, 9.419490090000000e-01, 3.316994830000000e-02
6.559707220000000e-03, 8.752190200000000e-01, 2.922234950000000e-02
6.725166740000001e-03, 9.296488870000000e-01, 2.886090930000000e-02
6.890627000000001e-03, 8.753282160000000e-01, 2.819976640000000e-02
7.056086510000000e-03, 8.931788420000000e-01, 2.777473260000000e-02
7.221546020000000e-03, 8.636780110000000e-01, 2.723638410000000e-02
7.387006280000000e-03, 8.450935700000000e-01, 2.677503540000000e-02
7.552465800000000e-03, 8.429442100000000e-01, 2.637501570000000e-02
7.717925310000000e-03, 7.958249830000000e-01, 2.588493480000000e-02
7.898427550000002e-03, 7.481324950000000e-01, 2.336118050000000e-02
8.093971010000001e-03, 6.947715140000000e-01, 2.289592300000000e-02
8.289513740000001e-03, 6.375054990000000e-01, 2.244534970000000e-02
8.485057200000000e-03, 5.946986130000000e-01, 2.200000200000000e-02
8.680600670000000e-03, 5.389246020000000e-01, 2.153839250000000e-02
8.876144140000000e-03, 5.037375070000000e-01, 2.112845540000000e-02
9.071687610000000e-03, 4.805057120000000e-01, 2.079680200000000e-02
9.282273050000001e-03, 4.365818840000000e-01, 1.900597670000000e-02
9.507899730000000e-03, 4.196294590000000e-01, 1.868496530000000e-02
