<X>, <Y>, <dY>
6.031472980000001e-03, 1.676724360000000e-02, 8.751450740000000e-02
6.167442350000000e-03, -1.195108890000000e-02, 8.567876839999999e-02
6.303411720000001e-03, 3.969395820000000e-02, 8.452808019999999e-02
6.439381090000001e-03, 4.566013150000000e-02, 8.331966040000000e-02
6.590458750000000e-03, 4.610327160000000e-02, 7.427394700000001e-02
6.756643210000001e-03, 5.754121870000000e-02, 7.328346290000000e-02
6.922828410000000e-03, 3.579581320000000e-02, 7.226557910000000e-02
7.089012860000000e-03, 4.038692070000000e-02, 7.137495939999999e-02
7.255197320000000e-03, 6.355165890000000e-02, 7.069317560000000e-02
7.421382520000000e-03, 3.748446700000000e-02, 6.958260350000001e-02
7.587566970000000e-03, 7.568553910000000e-02, 6.859482020000000e-02
7.753752170000000e-03, 4.652145230000000e-02, 6.745717870000000e-02
7.935044909999999e-03, 1.875693070000000e-02, 6.100097350000000e-02
8.131445200000000e-03, 3.883974370000000e-02, 6.008991070000000e-02
8.327845480000000e-03, 5.231953810000000e-02, 5.919590380000000e-02
8.524245020000000e-03, 2.442788620000000e-02, 5.828681300000000e-02
8.720645310000000e-03, 6.321792400000000e-03, 5.748258630000000e-02
8.917045590000000e-03, 2.319410450000000e-02, 5.678684960000000e-02
9.113445879999999e-03, 1.339603850000000e-02, 5.612887270000000e-02
9.324953710000000e-03, 2.915453310000000e-02, 5.156864110000000e-02
9.551569820000001e-03, 1.325028340000000e-02, 5.081176450000000e-02
9.778185190000000e-03, 2.420482440000000e-02, 5.014818860000000e-02
1.000480130000000e-02, 1.949821910000000e-03, 4.947472500000000e-02
1.023141670000000e-02, 2.357368970000000e-02, 4.891445520000000e-02
1.045803200000000e-02, 1.327299580000000e-02, 4.829883660000000e-02
1.069975570000000e-02, 1.771417960000000e-02, 4.479895480000000e-02
1.095658690000000e-02, 1.154811940000000e-02, 4.419868900000000e-02
1.121341810000000e-02, 1.413794830000000e-02, 4.459277490000000e-02
1.147024930000000e-02, 8.679425019999999e-03, 4.497000650000000e-02
1.172707970000000e-02, 1.196030920000000e-02, 4.437913270000000e-02
1.199901920000000e-02, 1.360159880000000e-02, 4.075604290000000e-02
1.228606550000000e-02, 1.183445750000000e-02, 3.996368000000000e-02
1.257311250000000e-02, 2.257610610000000e-03, 3.928266790000000e-02
1.286015810000000e-02, 1.516887080000000e-02, 3.870233210000000e-02
1.316231190000000e-02, -8.180964559999999e-04, 3.623325760000000e-02
1.347957400000000e-02, 9.503141749999999e-03, 3.662185920000000e-02
1.379683610000000e-02, 1.350770400000000e-02, 3.767158410000000e-02
1.411409830000000e-02, 4.383120510000000e-03, 3.866248990000000e-02
1.444646870000000e-02, 7.002747580000000e-03, 3.759574000000000e-02
1.479394580000000e-02, 4.792861970000000e-03, 3.789719310000000e-02
1.514142300000000e-02, -1.324403900000000e-02, 3.823583440000000e-02
1.548890020000000e-02, 1.597268430000000e-02, 3.862119060000000e-02
1.585148570000000e-02, 4.073215730000000e-03, 3.730323530000000e-02
1.622917800000000e-02, 1.420015220000000e-02, 3.753980380000000e-02
1.660687030000000e-02, 1.072418690000000e-02, 3.770664040000000e-02
1.698456410000000e-02, 4.139953850000000e-03, 3.784106620000000e-02
1.737736460000000e-02, 1.482979760000000e-02, 3.655457120000000e-02
1.778527200000000e-02, 8.429682359999999e-03, 3.781458700000000e-02
1.819318090000000e-02, -2.048266150000000e-03, 3.927212760000000e-02
1.861619650000000e-02, 1.126382730000000e-02, 3.903737030000000e-02
1.905432050000000e-02, 1.392069920000000e-02, 4.029245660000000e-02
1.949244290000000e-02, 4.526675010000000e-03, 4.272633270000000e-02
1.994567510000000e-02, 8.318056260000000e-03, 4.593190650000000e-02
2.041401420000000e-02, 2.429944860000000e-03, 5.021041560000000e-02
2.088235320000000e-02, 2.394454730000000e-03, 5.466704850000000e-02
2.136579900000000e-02, 4.335586090000000e-03, 5.786674310000000e-02
2.186435460000000e-02, 2.951769220000000e-03, 6.494474070000000e-02
2.236290870000000e-02, 1.073331030000000e-02, 7.279584380000000e-02
2.287657110000000e-02, -1.804578200000000e-03, 7.949445130000000e-02
2.340534030000000e-02, 6.225895550000000e-03, 9.248432519999999e-02
2.394921780000000e-02, 1.845894340000000e-02, 1.067270630000000e-01
2.450820360000000e-02, 2.145802080000000e-02, 1.240752750000000e-01
2.508229610000000e-02, -2.857211590000000e-02, 1.494369040000000e-01
2.567149700000000e-02, 3.373831060000000e-02, 2.241946900000000e-01
