q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18637_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18637_ave.h5_00001_[AN_3_30_37_PRM_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.00562356487	-0.0404920645	0.0911093213
0.00575953424	-0.0420957274	0.0882291278
0.00589550361	-0.073065963	0.0867249393
0.006031472980000001	-0.0742832289	0.0854467269
0.00616744235	-0.0389001635	0.0838858105
0.006303411720000001	-0.0907252696	0.0824275769
0.006439381090000001	-0.0339440836	0.0814205583
0.00659045875	0.00884386626	0.0727028131
0.006756643210000001	-0.0277824456	0.071557677
0.00692282841	-0.0624106255	0.07055817
0.0070890128600000005	-0.0170525475	0.0698068479
0.00725519732	-0.0995346253	0.068788162
0.00742138252	-0.0649910569	0.0678740608
0.00758756697	-0.0469431282	0.0668699605
0.00775375217	-0.0622272302	0.0657783975
0.00793504491	-0.0739705838	0.0595338519
0.0081314452	-0.0447858251	0.0586914946
0.00832784548	-0.0317616944	0.0578006289
0.00852424502	-0.0207102803	0.0570046777
0.00872064531	-0.0596429935	0.0561738554
0.00891704559	-0.0346734776	0.0555087529
0.00911344588	-0.0503811241	0.0548496924
0.00932495371	-0.0252061089	0.0504078741
0.009551569820000001	-0.041398863	0.0496809132
0.00977818519	-0.00518566966	0.0490774284
0.010004801300000001	-0.0251213868	0.048413232
0.0102314167	1.60515373e-05	0.0478697943
0.010458032	-0.0107405961	0.0472668422
0.0106997557	-0.00492696202	0.0438501774
0.0109565869	-0.00451634824	0.0432706497
0.0112134181	-0.0121769791	0.0436326876
0.0114702493	-0.0100806741	0.0440212443
0.0117270797	-0.0392627225	0.0433842341
0.0119990192	-0.0127750557	0.0398792549
0.0122860655	-0.0243287737	0.0390953593
0.0125731125	-0.0137076825	0.0384567631
0.0128601581	-0.0114287726	0.0378705771
0.013162311900000001	-0.0104546242	0.0354766723
0.013479574000000001	-0.0162119958	0.0358368122
0.013796836100000001	-0.0282741434	0.0368339599
0.0141140983	-0.015950171	0.0378406913
0.014446468700000001	-0.0112297966	0.0368023675
0.0147939458	-0.0153018845	0.0370902016
0.015141423000000001	-0.0157453894	0.0374531746
0.0154889002	-0.0183334299	0.0377766987
